Year,Circuit,Points received,Team
2014,Australia,0,Red Bull
2014,Malaysia,0,Red Bull
2014,Bahrain,12,Red Bull
2014,China,12,Red Bull
2014,Spain,15,Red Bull
2014,Monaco,15,Red Bull
2014,Canada,25,Red Bull
2014,Austria,4,Red Bull
2014,Britain,15,Red Bull
2014,Germany,8,Red Bull
2014,Hungary,25,Red Bull
2014,Belgium,25,Red Bull
2014,Italy,10,Red Bull
2014,Singapore,15,Red Bull
2014,Japan,12,Red Bull
2014,Russia,6,Red Bull
2014,USA,15,Red Bull
2014,Brazil,0,Red Bull
2014,Abu Dhabi,24,Red Bull
2015,Australia,8,Red Bull
2015,Malaysia,1,Red Bull
2015,China,2,Red Bull
2015,Bahrain,8,Red Bull
2015,Spain,6,Red Bull
2015,Monaco,10,Red Bull
2015,Canada,0,Red Bull
2015,Austria,1,Red Bull
2015,Britain,0,Red Bull
2015,Hungary,15,Red Bull
2015,Belgium,0,Red Bull
2015,Italy,4,Red Bull
2015,Singapore,18,Red Bull
2015,Japan,0,Red Bull
2015,Russia,0,Red Bull
2015,USA,1,Red Bull
2015,Mexico,10,Red Bull
2015,Brazil,0,Red Bull
2015,Abu Dhabi,8,Red Bull
2016,Australia,12,Red Bull
2016,Bahrain,12,Red Bull
2016,China,12,Red Bull
2016,Russia,0,Red Bull
2016,Spain,12,Red Bull
2016,Monaco,18,Red Bull
2016,Canada,6,Red Bull
2016,Europe,6,Red Bull
2016,Austria,10,Red Bull
2016,Britain,12,Red Bull
2016,Hungary,15,Red Bull
2016,Germany,18,Red Bull
2016,Belgium,18,Red Bull
2016,Italy,10,Red Bull
2016,Singapore,18,Red Bull
2016,Malaysia,25,Red Bull
2016,Japan,8,Red Bull
2016,USA,15,Red Bull
2016,Mexico,15,Red Bull
2016,Brazil,4,Red Bull
2016,Abu Dhabi,10,Red Bull
2017,Australia,0,Red Bull
2017,China,12,Red Bull
2017,Bahrain,10,Red Bull
2017,Russia,0,Red Bull
2017,Spain,15,Red Bull
2017,Monaco,15,Red Bull
2017,Canada,15,Red Bull
2017,Azerbaijan,25,Red Bull
2017,Austria,15,Red Bull
2017,Britain,10,Red Bull
2017,Hungary,0,Red Bull
2017,Belgium,15,Red Bull
2017,Italy,12,Red Bull
2017,Singapore,18,Red Bull
2017,Malaysia,15,Red Bull
2017,Japan,15,Red Bull
2017,USA,0,Red Bull
2017,Mexico,0,Red Bull
2017,Brazil,8,Red Bull
2017,Abu Dhabi,0,Red Bull
2018,Australia,12,Red Bull
2018,Bahrain,0,Red Bull
2018,China,25,Red Bull
2018,Azerbaijan,0,Red Bull
2018,Spain,10,Red Bull
2018,Monaco,25,Red Bull
2018,Canada,12,Red Bull
2018,France,12,Red Bull
2018,Austria,0,Red Bull
2018,Britain,10,Red Bull
2018,Germany,0,Red Bull
2018,Hungary,12,Red Bull
2018,Belgium,0,Red Bull
2018,Italy,0,Red Bull
2018,Singapore,8,Red Bull
2018,Russia,8,Red Bull
2018,Japan,12,Red Bull
2018,USA,0,Red Bull
2018,Mexico,0,Red Bull
2018,Brazil,12,Red Bull
2018,Abu Dhabi,12,Red Bull
2019,Australia,0,Renault
2019,Bahrain,0,Renault
2019,China,6,Renault
2019,Azerbaijan,0,Renault
2019,Spain,0,Renault
2019,Monaco,2,Renault
2019,Canada,8,Renault
2019,France,0,Renault
2019,Austria,0,Renault
2019,Britain,6,Renault
2019,Germany,0,Renault
2019,Hungary,0,Renault
2019,Belgium,0,Renault
2019,Italy,12,Renault
2019,Singapore,0,Renault
2019,Russia,0,Renault
2019,Japan,0,Renault
2019,Mexico,4,Renault
2019,USA,8,Renault
2019,Brazil,8,Renault
2019,Abu Dhabi,0,Renault
