Year,Circuit,Team,Qualifying position 
2014,Australia,Red Bull ,2
2014,Malaysia,Red Bull ,5
2014,Bahrain,Red Bull ,3
2014,China,Red Bull ,2
2014,Spain,Red Bull ,3
2014,Monaco,Red Bull ,3
2014,Canada,Red Bull ,6
2014,Austria,Red Bull ,5
2014,Britain,Red Bull ,8
2014,Germany,Red Bull ,5
2014,Hungary,Red Bull ,4
2014,Belgium,Red Bull ,5
2014,Italy,Red Bull ,9
2014,Singapore,Red Bull ,3
2014,Japan,Red Bull ,6
2014,Russia,Red Bull ,7
2014,USA,Red Bull ,5
2014,Brazil,Red Bull ,9
2014,Abu Dhabi,Red Bull ,5
2015,Australia,Red Bull ,5
2015,Malaysia,Red Bull ,11
2015,China,Red Bull ,6
2015,Bahrain,Red Bull ,4
2015,Spain,Red Bull ,7
2015,Monaco,Red Bull ,6
2015,Canada,Red Bull ,3
2015,Austria,Red Bull ,18
2015,Britain,Red Bull ,5
2015,Hungary,Red Bull ,5
2015,Belgium,Red Bull ,14
2015,Italy,Red Bull ,2
2015,Singapore,Red Bull ,3
2015,Japan,Red Bull ,6
2015,Russia,Red Bull ,5
2015,USA,Red Bull ,8
2015,Mexico,Red Bull ,15
2015,Brazil,Red Bull ,5
2015,Abu Dhabi,Red Bull ,3
2016,Australia,Red Bull ,8
2016,Bahrain,Red Bull ,5
2016,China,Red Bull ,2
2016,Russia,Red Bull ,6
2016,Spain,Red Bull ,3
2016,Monaco,Red Bull ,1
2016,Canada,Red Bull ,4
2016,Europe,Red Bull ,3
2016,Austria,Red Bull ,7
2016,Britain,Red Bull ,4
2016,Hungary,Red Bull ,3
2016,Germany,Red Bull ,3
2016,Belgium,Red Bull ,5
2016,Italy,Red Bull ,6
2016,Singapore,Red Bull ,2
2016,Malaysia,Red Bull ,4
2016,Japan,Red Bull ,6
2016,USA,Red Bull ,3
2016,Mexico,Red Bull ,4
2016,Brazil,Red Bull ,6
2016,Abu Dhabi,Red Bull ,3
2017,Australia,Red Bull ,10
2017,China,Red Bull ,5
2017,Bahrain,Red Bull ,4
2017,Russia,Red Bull ,5
2017,Spain,Red Bull ,6
2017,Monaco,Red Bull ,5
2017,Canada,Red Bull ,6
2017,Azerbaijan,Red Bull ,10
2017,Austria,Red Bull ,5
2017,Britain,Red Bull ,20
2017,Hungary,Red Bull ,6
2017,Belgium,Red Bull ,6
2017,Italy,Red Bull ,3
2017,Singapore,Red Bull ,3
2017,Malaysia,Red Bull ,4
2017,Japan,Red Bull ,4
2017,USA,Red Bull ,4
2017,Mexico,Red Bull ,7
2017,Brazil,Red Bull ,5
2017,Abu Dhabi,Red Bull ,4
2018,Australia,Red Bull ,5
2018,Bahrain,Red Bull ,5
2018,China,Red Bull ,6
2018,Azerbaijan,Red Bull ,4
2018,Spain,Red Bull ,6
2018,Monaco,Red Bull ,1
2018,Canada,Red Bull ,6
2018,France,Red Bull ,5
2018,Austria,Red Bull ,7
2018,Britain,Red Bull ,6
2018,Germany,Red Bull ,15
2018,Hungary,Red Bull ,12
2018,Belgium,Red Bull ,8
2018,Italy,Red Bull ,15
2018,Singapore,Red Bull ,6
2018,Russia,Red Bull ,15
2018,Japan,Red Bull ,15
2018,USA,Red Bull ,5
2018,Mexico,Red Bull ,1
2018,Brazil,Red Bull ,6
2018,Abu Dhabi,Red Bull ,5
2019,Australia,Renault,12
2019,Bahrain,Renault,11
2019,China,Renault,7
2019,Azerbaijan,Renault,12
2019,Spain,Renault,10
2019,Monaco,Renault,7
2019,Canada,Renault,4
2019,France,Renault,8
2019,Austria,Renault,14
2019,Britain,Renault,7
2019,Germany,Renault,13
2019,Hungary,Renault,18
2019,Belgium,Renault,6
2019,Italy,Renault,5
2019,Singapore,Renault,8
2019,Russia,Renault,10
2019,Japan,Renault,16
2019,Mexico,Renault,13
2019,USA,Renault,9
2019,Brazil,Renault,11
2019,Abu Dhabi,Renault,7
